DATE_AS_AT,AGG_LEVEL,STATE,ABS_CODE,ABS_NAME,AGE_LOWER,AGE_UPPER,AIR_FIRST_DOSE_PCT,AIR_SECOND_DOSE_PCT,AIR_THIRD_DOSE_PCT,AIR_THIRD_DOSE_ELIGIBLE_PCT,AIR_FIRST_DOSE_APPROX_COUNT,AIR_SECOND_DOSE_APPROX_COUNT,AIR_THIRD_DOSE_APPROX_COUNT,ABS_ERP_2019_POPULATION,VALIDATED,URL
2021-08-01,ASGS_2016_SA4,ACT,801,Australian Capital Territory,15,999,46.8,22.7,,,161612,78389,,345325,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,101,Capital Region,15,999,46.8,17.9,,,88116,33703,,188283,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,102,Central Coast,15,999,45,19.6,,,125784,54786,,279520,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,103,Central West,15,999,40.4,16.7,,,68900,28481,,170545,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,104,Coffs Harbour - Grafton,15,999,41.7,14.6,,,48530,16991,,116379,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,105,Far West and Orana,15,999,34.1,13.4,,,31609,12421,,92695,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,106,Hunter Valley exc Newcastle,15,999,37.5,14.1,,,83856,31530,,223616,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,107,Illawarra,15,999,42.6,21.3,,,109560,54780,,257183,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,108,Mid North Coast,15,999,45.5,17.5,,,84357,32445,,185401,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,109,Murray,15,999,45,16.7,,,44095,16364,,97988,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,110,New England and North West,15,999,38.2,15.1,,,57258,22633,,149890,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
2021-08-01,ASGS_2016_SA4,NSW,111,Newcastle and Lake Macquarie,15,999,41.3,17.7,,,128230,54956,,310484,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-2-august-2021.pdf
